age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
35,F,City,Basic Membership,2016-04-08,No,Without Offers,Desktop,Mobile_Data,12:51:39,21.0,1175.9561092849008,4248.84,16.0,515.15,No,Yes,Yes,Unsolved,No reason specified,5.0
34,M,Town,Platinum Membership,2017-09-08,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,14:34:44,14.0,252.02,26946.21,23.0,725.6209506962621,No,Yes,Yes,Solved in Follow-up,No reason specified,3.0
39,M,Town,Platinum Membership,2017-06-23,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,18:52:18,18.0,258.69,6032.17,30.81782670410314,796.99,Yes,No,Yes,Solved in Follow-up,User Friendly Website,1.0
14,M,Town,No Membership,2017-04-02,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,16:17:42,15.0,307.37,41719.14,17.611369031830016,698.24,No,Yes,Yes,No Information Available,Poor Product Quality,5.0
63,M,City,Premium Membership,2016-12-17,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,18:02:49,17.0,52.68,1775.36,13.0,784.28,Yes,No,Yes,No Information Available,Poor Website,3.0
37,F,Town,Silver Membership,2016-07-11,No,Gift Vouchers/Coupons,Desktop,Fiber_Optic,13:41:30,22.0,190.47,23664.84,12.0,747.2,No,Yes,Yes,Unsolved,User Friendly Website,2.0
42,M,Town,No Membership,2017-03-20,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,13:19:15,12.0,751.71,10166.18,24.0,632.49,Yes,No,Yes,Solved,Poor Customer Service,4.0
26,F,Village,Silver Membership,2015-03-27,No,Without Offers,Smartphone,Mobile_Data,07:40:30,17.0,219.60153856016942,33680.03,20.0,625.72,No,Yes,Yes,Unsolved,Poor Product Quality,4.0
36,M,Village,Basic Membership,2017-07-07,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,23:08:02,16.0,30.53,18363.03,23.0,692.35,Yes,No,Yes,Unsolved,Poor Customer Service,5.0
42,F,City,Basic Membership,2016-06-01,No,Without Offers,Smartphone,Wi-Fi,04:29:24,7.0,204.1485963529378,16515.7,13.0,632.0880825904195,No,Yes,Yes,Solved,Too many ads,4.0
64,F,Village,Gold Membership,2015-04-22,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,10:10:01,11.0,30.56,20650.42,13.0,750.31,No,Yes,No,Not Applicable,Poor Product Quality,3.0
11,F,Village,Premium Membership,2015-10-17,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,17:25:03,5.0,963.71,38904.7,20.0,747.33,No,Yes,No,Not Applicable,Too many ads,3.0
49,M,Village,Basic Membership,2017-02-09,No,Credit/Debit Card Offers,Desktop,Mobile_Data,21:46:53,18.0,162.42,46032.21,6.0,639.21,Yes,No,No,Not Applicable,Poor Product Quality,5.0
41,M,Town,Gold Membership,2015-12-15,Yes,Without Offers,Desktop,Wi-Fi,07:52:30,11.0,30.49,3070.41,24.0,928.555748518938,Yes,No,No,Not Applicable,Poor Customer Service,4.0
17,F,Town,No Membership,2015-07-02,No,Credit/Debit Card Offers,Desktop,Mobile_Data,08:26:23,14.0,206.68089485981167,22097.42,17.0,649.84,No,Yes,Yes,No Information Available,No reason specified,5.0
