age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score,points_per_transaction,transaction_value_per_time_unit,last_visit_hour,last_visit_time_of_day,last_visit_AMPM,joining_day_name,is_weekend
18,F,Village,Platinum Membership,2017-08-17,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,16:08:02,17.0,300.63,53005.25,17.0,781.75,Yes,Yes,No,Not Applicable,Products always in Stock,2.0,0.014748539059810113,176.31390746099856,16,Afternoon,PM,Thursday,0
32,F,City,Premium Membership,2017-08-28,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,12:38:13,16.0,306.34,12838.38,10.0,792.8521219554959,Yes,No,Yes,Solved,Quality Customer Care,1.0,0.061756399324174545,41.908924724162695,12,Afternoon,PM,Monday,0
44,F,Town,No Membership,2016-11-11,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,22:53:21,14.0,516.16,21027.0,22.0,500.69,No,Yes,Yes,Solved in Follow-up,Poor Website,5.0,0.023811765824891806,40.73736825790453,22,Night,PM,Friday,0
37,M,City,No Membership,2016-10-29,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,15:57:50,11.0,53.27,25239.56,6.0,567.66,No,Yes,Yes,Unsolved,Poor Website,5.0,0.022490883359297862,473.80439271635066,15,Afternoon,PM,Saturday,1
31,F,City,No Membership,2017-09-12,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,15:46:44,20.0,113.13,24483.66,16.0,663.06,No,Yes,Yes,Solved,Poor Website,5.0,0.027081735328786626,216.42057809599575,15,Afternoon,PM,Tuesday,0
13,M,City,Gold Membership,2016-01-08,No,Gift Vouchers/Coupons,Both,Wi-Fi,06:46:07,23.0,433.62,13884.77,24.0,722.27,Yes,No,Yes,Unsolved,Poor Website,3.0,0.05201886671511303,32.020594068539275,6,Morning,AM,Friday,0
21,M,Town,Gold Membership,2015-03-19,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,11:40:04,10.0,55.38,8982.5,28.0,756.21,Yes,No,Yes,Solved in Follow-up,Too many ads,3.0,0.08418703033676594,162.19754423979776,11,Morning,AM,Thursday,0
42,M,Town,No Membership,2016-07-12,No,Credit/Debit Card Offers,Both,Fiber_Optic,07:52:43,19.0,429.11,44554.82,24.0,568.08,No,Yes,Yes,Unsolved,Poor Product Quality,5.0,0.01275013567555654,103.8307660040549,7,Morning,AM,Tuesday,0
44,M,Village,Silver Membership,2016-12-14,No,Without Offers,Smartphone,Fiber_Optic,06:50:10,15.0,191.07,18362.31,20.0,709.3795553198177,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,3.0,0.03863237007325427,96.10252786936726,6,Morning,AM,Wednesday,0
45,F,Town,No Membership,2016-11-30,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,19:10:16,10.0,97.31,19244.16,28.0,706.23,No,Yes,Yes,No Information Available,Poor Customer Service,4.0,0.03669840616581862,197.76138115301612,19,Evening,PM,Wednesday,0
25,F,Village,Basic Membership,2016-05-22,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,05:57:20,14.0,570.23,35119.93,8.0,699.7,Yes,Yes,No,Not Applicable,Poor Product Quality,5.0,0.019923160439101105,61.58906055451309,5,Morning,AM,Sunday,1
60,M,City,Gold Membership,2016-01-13,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,11:56:11,14.0,55.53,41672.02,33.02434314076341,798.12,Yes,No,No,Not Applicable,Too many ads,3.0,0.0191524192971687,750.4415631190346,11,Morning,AM,Wednesday,0
11,M,Town,No Membership,2015-01-31,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,04:42:50,13.0,41.09,44007.18,18.0,608.26,Yes,No,Yes,Unsolved,Poor Customer Service,4.0,0.013821835436853712,1070.9948892674615,4,Night,AM,Saturday,1
34,M,City,Basic Membership,2016-12-07,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,08:35:05,10.0,89.76,21318.19,6.0,620.1670679114808,No,Yes,No,Not Applicable,Poor Product Quality,4.0,0.029090981359650176,237.5021167557932,8,Morning,AM,Wednesday,0
40,M,City,Premium Membership,2016-11-19,No,Without Offers,Desktop,Fiber_Optic,21:01:43,20.0,100.59,14842.62,26.0,745.4544325962171,No,Yes,No,Not Applicable,Poor Website,3.0,0.0502239114520359,147.55562183119594,21,Night,PM,Saturday,1
16,F,Town,Basic Membership,2017-07-09,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13:48:22,11.0,30.14,18792.31,7.0,141.5132013118415,Yes,No,Yes,Unsolved,Too many ads,5.0,0.007530378187239434,623.5006635700066,13,Afternoon,PM,Sunday,1
57,F,City,No Membership,2016-01-27,No,Without Offers,Desktop,Wi-Fi,20:58:28,5.0,333.34,47241.32,8.0,640.6915059122987,Yes,Yes,Yes,Solved in Follow-up,Too many ads,5.0,0.013562099998736248,141.72112557748846,20,Evening,PM,Wednesday,0
11,M,Town,Silver Membership,2017-01-02,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,03:42:26,12.0,275.13,29072.86,26.0,733.97,Yes,No,No,Not Applicable,Poor Customer Service,3.0,0.02524588224206356,105.66953803656453,3,Night,AM,Monday,0
39,M,Town,No Membership,2017-11-01,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,15:39:05,9.0,241.74,33170.16,6.0,551.11,Yes,No,Yes,No Information Available,Poor Website,5.0,0.016614631946303544,137.21419707123357,15,Afternoon,PM,Wednesday,0
45,M,City,Premium Membership,2016-02-03,No,Without Offers,Desktop,Mobile_Data,11:46:54,14.0,31.15,66982.61,8.0,164.80076897738957,Yes,No,Yes,Unsolved,Products always in Stock,2.0,0.00246035155956732,2150.32455858748,11,Morning,AM,Wednesday,0
33,M,Village,No Membership,2015-12-03,No,Without Offers,Desktop,Wi-Fi,18:50:35,15.0,49.86,44289.97,25.0,703.96,Yes,No,No,Not Applicable,Poor Customer Service,4.0,0.015894343572596687,888.2866024869635,18,Evening,PM,Thursday,0
30,M,Village,No Membership,2016-07-29,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,08:55:48,21.0,30.37,49404.86,23.0,630.61,Yes,No,Yes,No Information Available,Poor Website,5.0,0.012764128873151346,1626.7652288442541,8,Morning,AM,Friday,0
19,F,Town,Platinum Membership,2017-01-22,No,Gift Vouchers/Coupons,Both,Mobile_Data,23:04:40,15.0,483.03,52702.67,3.0,389.3564431980522,No,Yes,Yes,No Information Available,User Friendly Website,2.0,0.0073877935064400385,109.1084818748318,23,Night,PM,Sunday,1
43,M,City,No Membership,2015-08-14,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,06:23:02,17.0,108.3,21725.57,21.0,225.0044276241277,No,Yes,No,Not Applicable,Poor Website,4.0,0.010356663950548947,200.60544783010158,6,Morning,AM,Friday,0
29,F,Town,Silver Membership,2016-04-09,No,Without Offers,Desktop,Fiber_Optic,20:56:20,18.0,300.38,12069.06,7.0,777.31,No,Yes,No,Not Applicable,Too many ads,3.0,0.06440518151372186,40.1793062121313,20,Evening,PM,Saturday,1
10,M,City,Gold Membership,2015-11-10,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,17:25:38,1.0,100.65,8515.5,6.0,757.7,Yes,No,No,Not Applicable,Too many ads,3.0,0.08897892079149786,84.60506706408346,17,Evening,PM,Tuesday,0
