age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
18,F,Village,Platinum Membership,2017-08-17,No,Gift Vouchers/Coupons,,Wi-Fi,16:08:02,17.0,300.63,53005.25,17.0,781.75,Yes,Yes,No,Not Applicable,Products always in Stock,2.0
32,F,City,Premium Membership,2017-08-28,,Gift Vouchers/Coupons,Desktop,Mobile_Data,12:38:13,16.0,306.34,12838.38,10.0,,Yes,No,Yes,Solved,Quality Customer Care,1.0
44,F,Town,No Membership,2016-11-11,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,22:53:21,14.0,516.16,21027.0,22.0,500.69,No,Yes,Yes,Solved in Follow-up,Poor Website,5.0
37,M,City,No Membership,2016-10-29,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,15:57:50,11.0,53.27,25239.56,6.0,567.66,No,Yes,Yes,Unsolved,Poor Website,5.0
31,F,City,No Membership,2017-09-12,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,15:46:44,20.0,113.13,24483.66,16.0,663.06,No,Yes,Yes,Solved,Poor Website,5.0
13,M,City,Gold Membership,2016-01-08,No,Gift Vouchers/Coupons,,Wi-Fi,06:46:07,23.0,433.62,13884.77,24.0,722.27,Yes,No,Yes,Unsolved,,3.0
21,M,Town,Gold Membership,2015-03-19,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,11:40:04,10.0,55.38,8982.5,28.0,756.21,Yes,No,Yes,Solved in Follow-up,,3.0
42,M,,No Membership,2016-07-12,,Credit/Debit Card Offers,Both,Fiber_Optic,07:52:43,19.0,429.11,44554.82,24.0,568.08,No,Yes,Yes,Unsolved,Poor Product Quality,5.0
44,M,Village,Silver Membership,2016-12-14,No,Without Offers,Smartphone,Fiber_Optic,06:50:10,15.0,191.07,18362.31,20.0,,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,3.0
45,F,Town,No Membership,2016-11-30,No,Gift Vouchers/Coupons,,Wi-Fi,19:10:16,10.0,97.31,19244.16,28.0,706.23,No,Yes,Yes,No Information Available,Poor Customer Service,4.0
25,F,Village,Basic Membership,2016-05-22,Yes,Gift Vouchers/Coupons,Both,Wi-Fi,05:57:20,14.0,570.23,35119.93,8.0,699.7,Yes,Yes,No,Not Applicable,Poor Product Quality,5.0
60,M,City,Gold Membership,2016-01-13,No,Gift Vouchers/Coupons,Smartphone,Wi-Fi,11:56:11,14.0,55.53,41672.02,33.02434314076341,798.12,Yes,No,No,Not Applicable,Too many ads,3.0
11,M,Town,No Membership,2015-01-31,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,04:42:50,13.0,41.09,44007.18,18.0,608.26,Yes,No,Yes,Unsolved,Poor Customer Service,4.0
34,M,City,Basic Membership,2016-12-07,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,08:35:05,10.0,89.76,21318.19,6.0,,No,Yes,No,Not Applicable,Poor Product Quality,4.0
40,M,City,Premium Membership,2016-11-19,No,Without Offers,,Fiber_Optic,21:01:43,20.0,100.59,14842.62,26.0,,No,Yes,No,Not Applicable,Poor Website,3.0
