age,gender,membership_category,joining_date,joined_through_referral,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,feedback,churn_risk_score,log_avg_time_spent,points_per_transaction,transaction_value_per_time_unit,last_visit_hour,region_category_Town,region_category_Village,preferred_offer_types_Gift Vouchers/Coupons,preferred_offer_types_Without Offers,medium_of_operation_Desktop,medium_of_operation_Smartphone,internet_option_Mobile_Data,internet_option_Wi-Fi,last_visit_time_of_day_Evening,last_visit_time_of_day_Morning,last_visit_time_of_day_Night,complaint_status_Not Applicable,complaint_status_Solved,complaint_status_Solved in Follow-up,complaint_status_Unsolved
18,0.0,4,2017-08-17,0.0,1900-01-01 16:08:02,17.0,5.70920110068306,53005.25,781.75,1.0,1.0,0.0,2,2.0,5.70920110068306,0.014748539059810113,9284.179881780368,16,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0
32,0.0,5,2017-08-28,0.0,1900-01-01 12:38:13,16.0,5.727954626627186,12838.38,788.4828173696234,1.0,0.0,1.0,2,1.0,5.727954626627186,0.06141606786600984,2241.3550450136286,12,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
44,0.0,0,2016-11-11,1.0,1900-01-01 22:53:21,14.0,6.248352304386352,21027.0,500.69,0.0,1.0,1.0,0,5.0,6.248352304386352,0.023811765824891806,3365.2071739359217,22,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0
37,1.0,0,2016-10-29,1.0,1900-01-01 15:57:50,11.0,3.9939715880753135,25239.56,567.66,0.0,1.0,1.0,0,5.0,3.9939715880753135,0.022490883359297862,6319.414007690248,15,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
31,0.0,0,2017-09-12,0.0,1900-01-01 15:46:44,20.0,4.737338149565509,24483.66,663.06,0.0,1.0,1.0,0,5.0,4.737338149565509,0.027081735328786626,5168.23144707235,15,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
13,1.0,3,2016-01-08,0.0,1900-01-01 06:46:07,23.0,6.07447208609159,13884.77,722.27,1.0,0.0,1.0,1,3.0,6.07447208609159,0.05201886671511303,2285.757478710167,6,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
21,1.0,3,2015-03-19,1.0,1900-01-01 11:40:04,10.0,4.032114485685967,8982.5,756.21,1.0,0.0,1.0,1,3.0,4.032114485685967,0.08418703033676594,2227.7393243391116,11,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0
42,1.0,0,2016-07-12,0.0,1900-01-01 07:52:43,19.0,6.064040989926286,44554.82,568.08,0.0,1.0,1.0,0,5.0,6.064040989926286,0.01275013567555654,7347.381073778263,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
44,1.0,2,2016-12-14,0.0,1900-01-01 06:50:10,15.0,5.2578598889167605,18362.31,705.7751944495166,1.0,0.0,1.0,0,3.0,5.2578598889167605,0.03843607881848833,3492.354377625505,6,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
45,0.0,0,2016-11-30,0.0,1900-01-01 19:10:16,10.0,4.588125751378833,19244.16,706.23,0.0,1.0,1.0,0,4.0,4.588125751378833,0.03669840616581862,4194.340138610348,19,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0
